Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,70349,BRITANNIA 25 NOV 2025 CE 5600.00,2025-11-25,CE,5600,BRITANNIA 25 NOV 2025 CE 5600.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 CE 5600.00_20251125_CE_5600,XX
N,D,135842,MOTHERSON 28 OCT 2025 PE 72.00,2025-10-28,PE,72,MOTHERSON 28 OCT 2025 PE 72.00,0.05,6150,246000,1,MOTHERSON,N,INE775A01035,MOTHERSON 28 OCT 2025 PE 72.00_20251028_PE_72,XX
N,D,70350,BRITANNIA 25 NOV 2025 PE 5600.00,2025-11-25,PE,5600,BRITANNIA 25 NOV 2025 PE 5600.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 5600.00_20251125_PE_5600,XX
N,D,70381,BRITANNIA 25 NOV 2025 CE 6500.00,2025-11-25,CE,6500,BRITANNIA 25 NOV 2025 CE 6500.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 CE 6500.00_20251125_CE_6500,XX
N,D,70382,BRITANNIA 25 NOV 2025 PE 6500.00,2025-11-25,PE,6500,BRITANNIA 25 NOV 2025 PE 6500.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 6500.00_20251125_PE_6500,XX
N,D,70682,BSE 28 OCT 2025 CE 2850.00,2025-10-28,CE,2850,BSE 28 OCT 2025 CE 2850.00,0.05,375,11250,1,BSE,N,INE118H01025,BSE 28 OCT 2025 CE 2850.00_20251028_CE_2850,XX
N,D,139921,PAYTM 30 DEC 2025 CE 840.00,2025-12-30,CE,840,PAYTM 30 DEC 2025 CE 840.00,0.05,725,21750,1,PAYTM,N,INE982J01020,PAYTM 30 DEC 2025 CE 840.00_20251230_CE_840,XX
N,D,134323,MANAPPURAM 25 NOV 2025 CE 252.50,2025-11-25,CE,252.5,MANAPPURAM 25 NOV 2025 CE 252.50,0.05,3000,90000,1,MANAPPURAM,N,INE522D01027,MANAPPURAM 25 NOV 2025 CE 252.50_20251125_CE_252.5,XX
N,D,134324,MANAPPURAM 25 NOV 2025 PE 252.50,2025-11-25,PE,252.5,MANAPPURAM 25 NOV 2025 PE 252.50,0.05,3000,90000,1,MANAPPURAM,N,INE522D01027,MANAPPURAM 25 NOV 2025 PE 252.50_20251125_PE_252.5,XX
N,D,110370,MPHASIS 28 OCT 2025 CE 2200.00,2025-10-28,CE,2200,MPHASIS 28 OCT 2025 CE 2200.00,0.05,275,8250,1,MPHASIS,N,INE356A01018,MPHASIS 28 OCT 2025 CE 2200.00_20251028_CE_2200,XX
